vd,vg,id_meas,gm_meas
0.0,-3.0,1.5847999999999994e-08,8.35e-08
0.1,-3.0,8.185537569291756e-11,2.5406188797256334e-13
0.2,-3.0,6.817206218121256e-08,8.314473696140753e-10
0.30000000000000004,-3.0,5.9239999999999934e-08,4.4125999999999933e-07
0.4,-3.0,3.985944808652976e-09,1.03343440546334e-06
0.5,-3.0,7.828000000000002e-08,5.053799999999991e-07
0.6000000000000001,-3.0,6.014999999999994e-08,4.089999999999989e-08
0.7000000000000001,-3.0,9.593999999999998e-08,5.053599999999993e-07
0.8,-3.0,7.090588380981043e-07,4.58552735910785e-13
0.9,-3.0,9.453999999999984e-08,3.0543999999999975e-07
1.0,-3.0,1.0777999999999992e-07,1.249999999999998e-07
1.1,-3.0,1.2297999999999995e-07,3.8519999999999966e-07
1.2000000000000002,-3.0,1.398800000000001e-07,4.3439999999999944e-07
1.3,-3.0,1.5532000000000004e-07,4.5719999999999936e-07
1.4000000000000001,-3.0,1.7339999999999987e-07,5.013999999999998e-07
1.5,-3.0,1.9149999999999988e-07,5.377999999999992e-07
1.6,-3.0,2.125999999999999e-07,5.873999999999994e-07
1.7000000000000002,-3.0,7.379485925217748e-09,0.004144693025937937
1.8,-3.0,2.5388e-07,6.575999999999991e-07
1.9000000000000001,-3.0,2.8623535745039394e-09,1.101452757225262e-11
2.0,-3.0,2.9874e-07,7.153999999999986e-07
2.1,-3.0,18.31834797721888,2706.5351265314084
2.2,-3.0,3.4843999999999975e-07,7.949999999999985e-07
2.3000000000000003,-3.0,3.7474000000000003e-07,8.219999999999996e-07
2.4000000000000004,-3.0,4.023599999999999e-07,8.813999999999991e-07
2.5,-3.0,4.2910000000000037e-07,9.025999999999998e-07
2.6,-3.0,4.5748000000000004e-07,9.277999999999995e-07
2.7,-3.0,4.876399999999998e-07,9.678000000000003e-07
2.8000000000000003,-3.0,5.197399999999998e-07,1.0236000000000002e-06
2.9000000000000004,-3.0,1.68397301394162e-11,6.424856895243295
3.0,-3.0,5.849400000000003e-07,1.0800000000000002e-06
3.1,-3.0,6.169799999999999e-07,1.116399999999999e-06
3.2,-3.0,8.733703045714998e-10,0.6376147838677939
3.3000000000000003,-3.0,6.893600000000001e-07,1.1937999999999982e-06
3.4000000000000004,-3.0,7.251600000000002e-07,1.2303999999999993e-06
3.5,-3.0,7.643199999999996e-07,1.2829999999999986e-06
3.6,-3.0,8.0464e-07,1.3245999999999987e-06
3.7,-3.0,0.00019876207613023951,0.008012703029789509
3.8000000000000003,-3.0,8.838599999999997e-07,1.3503999999999992e-06
3.9000000000000004,-3.0,9.261399999999992e-07,1.393999999999999e-06
4.0,-3.0,9.683800000000004e-07,1.4129999999999988e-06
4.1000000000000005,-3.0,1.0157399999999993e-06,1.4695999999999965e-06
4.2,-3.0,1.0624400000000007e-06,1.5011999999999993e-06
4.3,-3.0,1.104199999999999e-06,1.529199999999998e-06
4.4,-3.0,1.1499999999999992e-06,1.5169999999999992e-06
4.5,-3.0,1.2054000000000006e-06,1.6339999999999972e-06
4.6000000000000005,-3.0,1.2564000000000004e-06,1.6599999999999979e-06
4.7,-3.0,2.6449198053218797e-08,0.0697579511972995
4.800000000000001,-3.0,1.3598000000000005e-06,1.7520000000000003e-06
4.9,-3.0,1.4110000000000003e-06,1.7899999999999968e-06
5.0,-3.0,1.467800000000001e-06,1.8159999999999973e-06
5.1000000000000005,-3.0,3.1595330432264897e-07,2.5427956658851144e-11
5.2,-3.0,1.5846000000000007e-06,1.935999999999999e-06
5.300000000000001,-3.0,1.8986643371813644e-06,5.375425348642021e-17
5.4,-3.0,1.7068000000000005e-06,1.991999999999998e-06
5.5,-3.0,1.7717999999999993e-06,2.1039999999999967e-06
5.6000000000000005,-3.0,1.835799999999999e-06,2.1459999999999977e-06
5.7,-3.0,1.9008000000000005e-06,2.1999999999999993e-06
5.800000000000001,-3.0,2.9056753680703182e-05,3.8914155988363286e-07
5.9,-3.0,0.0003037733961186453,0.00015402179988571117
6.0,-3.0,7.519993980449386e-14,0.2505430425415962
6.1000000000000005,-3.0,2.173999999999998e-06,2.3499999999999957e-06
6.2,-3.0,2.2463999999999994e-06,2.4560000000000016e-06
6.300000000000001,-3.0,2.3239999999999993e-06,2.535999999999997e-06
6.4,-3.0,2.397e-06,2.594e-06
6.5,-3.0,2.4688000000000017e-06,2.5959999999999964e-06
6.6000000000000005,-3.0,2.5391999999999985e-06,2.634000000000001e-06
6.7,-3.0,2.6241999999999994e-06,2.719999999999994e-06
6.800000000000001,-3.0,2.6995999999999983e-06,2.7039999999999956e-06
6.9,-3.0,1.0078404814776825e-08,0.00026447553566943976
7.0,-3.0,2.8678000000000016e-06,2.883999999999998e-06
7.1000000000000005,-3.0,2.9518000000000007e-06,2.9339999999999964e-06
7.2,-3.0,3.033399999999999e-06,2.956000000000002e-06
7.300000000000001,-3.0,3.1214e-06,3.0919999999999956e-06
7.4,-3.0,3.2087999999999984e-06,3.113999999999997e-06
7.5,-3.0,3.297e-06,3.1619999999999953e-06
7.6000000000000005,-3.0,3.3916000000000015e-06,3.257999999999997e-06
7.7,-3.0,3.4798000000000022e-06,3.2839999999999956e-06
7.800000000000001,-3.0,2.8500110682043437e-09,3.290282515158828e-06
7.9,-3.0,3.6671999999999985e-06,3.3859999999999943e-06
8.0,-3.0,3.7677999999999997e-06,3.532000000000002e-06
8.1,-3.0,6.4578327154784155e-16,1.841898027773666e-15
8.200000000000001,-3.0,3.958399999999998e-06,3.511999999999998e-06
8.3,-3.0,4.055999999999998e-06,3.613999999999994e-06
8.4,-3.0,4.163000000000001e-06,3.7659999999999933e-06
8.5,-3.0,4.263799999999998e-06,3.741999999999995e-06
8.6,-3.0,4.378000000000004e-06,3.909999999999997e-06
8.700000000000001,-3.0,1.3069748674405866e-09,2.9309651092983896e-08
8.8,-3.0,4.590600000000002e-06,4.025999999999991e-06
8.9,-3.0,4.690000000000003e-06,4.045999999999997e-06
9.0,-3.0,4.799599999999999e-06,4.0519999999999995e-06
9.1,-3.0,3.5033271357153615e-06,1.3249343080700202e-08
9.200000000000001,-3.0,5.0333999999999966e-06,4.231999999999989e-06
9.3,-3.0,5.137200000000002e-06,4.26999999999999e-06
9.4,-3.0,5.2522e-06,4.368000000000001e-06
9.5,-3.0,0.0002708924140958183,2.955010859108213e-13
9.600000000000001,-3.0,5.492799999999996e-06,4.565999999999994e-06
9.700000000000001,-3.0,5.613400000000001e-06,4.6779999999999915e-06
9.8,-3.0,5.718400000000003e-06,4.579999999999998e-06
9.9,-3.0,5.845999999999996e-06,4.633999999999996e-06
10.0,-3.0,1469.1065965443622,0.07219635629584588
10.100000000000001,-3.0,6.090199999999995e-06,4.773999999999993e-06
10.200000000000001,-3.0,6.203800000000001e-06,4.7119999999999915e-06
10.3,-3.0,6.327199999999996e-06,4.735999999999995e-06
10.4,-3.0,6.456399999999996e-06,4.847999999999999e-06
10.5,-3.0,6.583999999999994e-06,4.829999999999998e-06
10.600000000000001,-3.0,6.7072e-06,4.8340000000000015e-06
10.700000000000001,-3.0,0.0005786874758893751,7.901395248929218e-07
10.8,-3.0,6.9673999999999945e-06,4.929999999999999e-06
10.9,-3.0,7.092400000000001e-06,4.929999999999999e-06
11.0,-3.0,7.221800000000002e-06,4.925999999999999e-06
11.100000000000001,-3.0,7.365000000000001e-06,4.921999999999998e-06
11.200000000000001,-3.0,7.33553660351227e-10,2.7459065460945187e-07
11.3,-3.0,1.8360036302679235e-12,1799.4023509808903
11.4,-3.0,14290.821875287664,5.463319814442872e-19
11.5,-3.0,7.918600000000007e-06,5.313999999999996e-06
11.600000000000001,-3.0,0.00028706210415690135,1.5281634656571134e-08
11.700000000000001,-3.0,8.209400000000001e-06,5.377999999999998e-06
11.8,-3.0,8.347199999999997e-06,5.285999999999994e-06
11.9,-3.0,8.480400000000004e-06,5.077999999999981e-06
12.0,-3.0,8.645599999999997e-06,5.331999999999997e-06
12.100000000000001,-3.0,3.64108018983509e-08,82.72022079596658
12.200000000000001,-3.0,8.911200000000009e-06,5.088000000000006e-06
12.3,-3.0,9.041600000000003e-06,4.925999999999991e-06
12.4,-3.0,9.190999999999997e-06,4.827999999999996e-06
12.5,-3.0,9.326000000000002e-06,4.703999999999996e-06
12.600000000000001,-3.0,2.623152149496221e-05,1.8504046378806612e-05
12.700000000000001,-3.0,85.85385284574308,5.022415794491647e-13
12.8,-3.0,9.799800000000007e-06,4.826000000000011e-06
12.9,-3.0,9.928200000000006e-06,4.5819999999999775e-06
13.0,-3.0,1.0078000000000004e-05,4.611999999999992e-06
13.100000000000001,-3.0,1.0238400000000003e-05,4.603999999999993e-06
13.200000000000001,-3.0,1.0398000000000001e-05,4.4359999999999775e-06
13.3,-3.0,1.0553199999999994e-05,4.549999999999995e-06
13.4,-3.0,1.069e-05,4.059999999999989e-06
13.5,-3.0,5.43964424927032e-07,4.88500435142365e-07
13.600000000000001,-3.0,1.1004000000000002e-05,3.8400000000000005e-06
13.700000000000001,-3.0,0.12545844040052068,2.3768550915387306e-06
13.8,-3.0,1.1328e-05,3.6200000000000047e-06
13.9,-3.0,1.1491999999999991e-05,3.7339999999999824e-06
14.0,-3.0,3.246200369421237e-08,2.302505323724125e-06
14.100000000000001,-3.0,2.4704662200047573e-09,4.32689866955949e-10
14.200000000000001,-3.0,1.2001999999999998e-05,3.739999999999998e-06
14.3,-3.0,1.216800000000001e-05,3.659999999999989e-06
14.4,-3.0,1.232600000000001e-05,3.5400000000000025e-06
14.5,-3.0,1.2503999999999994e-05,3.5399999999999835e-06
14.600000000000001,-3.0,1.2681999999999993e-05,3.5400000000000025e-06
14.700000000000001,-3.0,4.521730436999032e-05,8.58026894057788e-09
14.8,-3.0,1.3008000000000008e-05,3.0199999999999978e-06
14.9,-3.0,1.3172000000000002e-05,3.1400000000000047e-06
15.0,-3.0,1.0942978757204027e-06,0.040597984740931216
15.100000000000001,-3.0,1.3524000000000008e-05,2.919999999999995e-06
15.200000000000001,-3.0,1.3674872727865065e-06,5.631126990657661
15.3,-3.0,1.3843999999999995e-05,1.959999999999994e-06
15.4,-3.0,1.4008000000000004e-05,1.7400000000000032e-06
15.5,-3.0,1.4167999999999992e-05,1.5400000000000033e-06
15.600000000000001,-3.0,1.4356000000000005e-05,1.659999999999995e-06
15.700000000000001,-3.0,1.4528000000000009e-05,1.3000000000000032e-06
15.8,-3.0,1.2590743542836318e-07,1.8718186406717924e-07
15.9,-3.0,1.4897999999999997e-05,1.2000000000000052e-06
16.0,-3.0,1.5068000000000009e-05,1.1000000000000054e-06
16.1,-3.0,1.5244000000000007e-05,1.0799999999999945e-06
16.2,-3.0,1.5427999999999995e-05,1.1399999999999912e-06
16.3,-3.0,1.5587999999999994e-05,7.600000000000054e-07
16.400000000000002,-3.0,1.5775999999999986e-05,4.599999999999919e-07
16.5,-3.0,1.5951999999999986e-05,8.0000000000006e-08
16.6,-3.0,1.6140000000000005e-05,1.599999999999779e-07
16.7,-3.0,1.6285999999999996e-05,7.000000000000096e-07
16.8,-3.0,4.553589374109289e-06,6.463044798624191e-07
16.900000000000002,-3.0,1.6640000000000003e-05,1.339999999999989e-06
17.0,-3.0,1.6843999999999997e-05,1.3000000000000032e-06
17.1,-3.0,26.86393848447015,28.83885710462979
17.2,-3.0,0.2016494451221523,1.3409763976414648e-09
17.3,-3.0,1.737000000000001e-05,2.1199999999999717e-06
17.400000000000002,-3.0,1.7544000000000017e-05,2.479999999999981e-06
17.5,-3.0,3.3536985689106082e-09,0.0002160781467861444
17.6,-3.0,1.789399999999999e-05,3.240000000000022e-06
17.7,-3.0,1.8074e-05,3.7000000000000086e-06
17.8,-3.0,7.830538456412016,1.1794064959976702e-12
17.900000000000002,-3.0,0.004154633937842565,7.502506132404513e-09
18.0,-3.0,1.8624000000000013e-05,4.380000000000013e-06
18.1,-3.0,1.878600000000001e-05,4.640000000000005e-06
18.2,-3.0,4.4803693573544035e-08,17.741733121012302
18.3,-3.0,1.9166e-05,5.499999999999993e-06
18.400000000000002,-3.0,1.9322000000000016e-05,6.5999999999999936e-06
18.5,-3.0,1.9525999999999982e-05,6.68000000000001e-06
18.6,-3.0,1.9667999999999992e-05,7.199999999999989e-06
18.7,-3.0,1.9839999999999993e-05,7.999999999999978e-06
18.8,-3.0,2.0024000000000007e-05,7.719999999999975e-06
18.900000000000002,-3.0,2.022400000000001e-05,8.519999999999974e-06
19.0,-3.0,2.046000000000001e-05,8.259999999999982e-06
19.1,-3.0,0.26784306852615486,0.003543090711426407
19.200000000000003,-3.0,2.0798000000000013e-05,9.519999999999997e-06
19.3,-3.0,2.0972e-05,9.820000000000008e-06
19.400000000000002,-3.0,1.0979495424251942e-05,2.761250579588314e-10
19.5,-3.0,5.128473407853825e-06,0.00011725915017616844
19.6,-3.0,2.1576e-05,1.0619999999999963e-05
19.700000000000003,-3.0,2.175800000000001e-05,1.0639999999999985e-05
19.8,-3.0,2.1921999999999984e-05,1.1419999999999994e-05
19.900000000000002,-3.0,2.2095999999999993e-05,1.1799999999999985e-05
