va_sim,ia_sim
0.48,4.800075267819004e-13
0.52,5.200171890318295e-13
0.5599999999999999,5.601135874555574e-13
0.6,6.004424388250662e-13
0.64,6.417392658941701e-13
0.6799999999999999,6.86843810993043e-13
0.72,7.469276933069757e-13
0.76,8.659514078024344e-13
0.8,1.2168859669925425e-12
0.84,2.4803197690159706e-12
0.88,7.334144576376378e-12
0.9199999999999999,2.6315050832836917e-11
0.96,1.0088158433618766e-10
1.0,3.9415982804047456e-10
1.04,1.5479938633017332e-09
1.08,6.087743392724221e-09
1.12,2.3948412745944392e-08
1.1600000000000001,9.419794456087816e-08
1.2,3.7019809316467256e-07
1.24,1.4498806765669836e-06
1.28,5.603744625526028e-06
1.3199999999999998,2.0672367651609902e-05
1.3599999999999999,6.676400157152283e-05
1.4,0.0001692962451728501
1.44,0.00033188888078935705
1.48,0.0005386319212427933
1.52,0.0007738208874505451
1.56,0.0010268221764304555
1.6,0.0012930758086083117
1.64,0.0015680405596270475
1.68,0.0018493481323432846
1.72,0.0021355422452999876
1.76,0.0024255804043046662
1.8,0.0027187063702393804
1.84,0.003014361170577143
1.8800000000000001,0.0033121213659171016
1.92,0.0036116593038158715
1.96,0.003912716766919455
2.0,0.004215086958722412
