vd,vg,id_sim,gm_sim
0.0,-3.0,2.972333719167779e-08,-2.1056904552121893e-08
0.1,-3.0,9.272454302677507e-08,-2.2107928833884387e-08
0.2,-3.0,1.5583337955362062e-07,-2.319159068156931e-08
0.30000000000000004,-3.0,2.1905413963401263e-07,-2.430732386636959e-08
0.4,-3.0,2.8239025344389253e-07,-2.5455818776401535e-08
0.5,-3.0,3.458451939048137e-07,-2.663761208879947e-08
0.6000000000000001,-3.0,4.094225029203255e-07,-2.785315062675869e-08
0.7000000000000001,-3.0,4.73125794990353e-07,-2.9102816552033064e-08
0.8,-3.0,5.369587587719876e-07,-3.038693078339722e-08
0.9,-3.0,6.009251586878477e-07,-3.170575384057139e-08
1.0,-3.0,6.650288380553282e-07,-3.305950111858024e-08
1.1,-3.0,7.292737279867347e-07,-3.444841616628833e-08
1.2000000000000002,-3.0,7.936638755188352e-07,-3.587303930307352e-08
1.3,-3.0,8.582034036470583e-07,-3.733379817458917e-08
1.4000000000000001,-3.0,9.228964409026737e-07,-3.883030128491545e-08
1.5,-3.0,9.877472130265538e-07,-4.036225842346621e-08
1.6,-3.0,1.0527600470965771e-06,-4.192953767285061e-08
1.7000000000000002,-3.0,1.1179393606650242e-06,-4.353208479554263e-08
1.8,-3.0,1.183289659872282e-06,-4.516994617608926e-08
1.9000000000000001,-3.0,1.2488155402372243e-06,-4.684333355100938e-08
2.0,-3.0,1.3145216876304312e-06,-4.855269288840344e-08
2.1,-3.0,1.3804128795967446e-06,-5.029877190393325e-08
2.2,-3.0,1.4464939865727199e-06,-5.20826463208889e-08
2.3000000000000003,-3.0,1.5127699731099952e-06,-5.390567579418775e-08
2.4000000000000004,-3.0,1.5792458991452916e-06,-5.576935590686759e-08
2.5,-3.0,1.6459269211206763e-06,-5.767506581167601e-08
2.6,-3.0,1.7128182930489112e-06,-5.962376764489924e-08
2.7,-3.0,1.7799253673565883e-06,-6.161574856810232e-08
2.8000000000000003,-3.0,1.8472535958648331e-06,-6.3650488763603e-08
2.9000000000000004,-3.0,1.914808530168901e-06,-6.572666088313577e-08
3.0,-3.0,1.9825958223134015e-06,-6.784222400086504e-08
3.1,-3.0,2.050621224914264e-06,-6.999453702770654e-08
3.2,-3.0,2.1188905912445338e-06,-7.21804574657127e-08
3.3000000000000003,-3.0,2.1874098752073053e-06,-7.439641576692463e-08
3.4000000000000004,-3.0,2.2561851311339414e-06,-7.663847541156409e-08
3.5,-3.0,2.325222513727317e-06,-7.890239636598848e-08
3.6,-3.0,2.3945282784533816e-06,-8.118370718474845e-08
3.7,-3.0,2.4641087824611596e-06,-8.347778087422135e-08
3.8000000000000003,-3.0,2.533970486698649e-06,-8.577990363919442e-08
3.9000000000000004,-3.0,2.6041199596167173e-06,-8.808532878255268e-08
4.0,-3.0,2.6745638824385126e-06,-9.038930625770374e-08
4.1000000000000005,-3.0,2.745309056265998e-06,-9.268709960538694e-08
4.2,-3.0,2.8163624100709742e-06,-9.497399466813468e-08
4.3,-3.0,2.887731008975822e-06,-9.724530478020419e-08
4.4,-3.0,2.959422061051935e-06,-9.949636979394286e-08
4.5,-3.0,3.031442922456448e-06,-1.0172254615468809e-07
4.6000000000000005,-3.0,3.103801100093034e-06,-1.039191845185612e-07
4.7,-3.0,3.1765042522614598e-06,-1.0608159712451267e-07
4.800000000000001,-3.0,3.249560188039564e-06,-1.0820501601561206e-07
4.9,-3.0,3.322976866289015e-06,-1.1028455541015572e-07
5.0,-3.0,3.3967623944563373e-06,-1.1231517080511185e-07
5.1000000000000005,-3.0,3.4709250277866047e-06,-1.1429162672358776e-07
5.2,-3.0,3.54547316886137e-06,-1.1620846501936936e-07
5.300000000000001,-3.0,3.6204153671885157e-06,-1.180599757590879e-07
5.4,-3.0,3.6957603188915035e-06,-1.198401674825332e-07
5.5,-3.0,3.7715168665741293e-06,-1.2154273911939062e-07
5.6000000000000005,-3.0,3.847693999155048e-06,-1.2316105114152237e-07
5.7,-3.0,3.924300852030151e-06,-1.2468809796438943e-07
5.800000000000001,-3.0,4.001346707838209e-06,-1.2611648817942862e-07
5.9,-3.0,4.0788409975390655e-06,-1.274384246729145e-07
