va_sim,ia_sim
0.48,4.800070931010314e-13
0.52,5.200163216700915e-13
0.5599999999999999,5.601218273920683e-13
0.6,6.005257055519131e-13
0.64,6.422748617673779e-13
0.6799999999999999,6.89841413159531e-13
0.72,7.625653580811687e-13
0.76,9.441163129064734e-13
0.8,1.5963948912789405e-12
0.84,4.284804282217447e-12
0.88,1.5780480221161408e-11
0.9199999999999999,6.537193095873528e-11
0.96,2.7974613424353034e-10
1.0,1.2068812477172841e-09
1.04,5.216946818986656e-09
1.08,2.2560094509530004e-08
1.12,9.753582881893291e-08
1.1600000000000001,4.2106283151561313e-07
1.2,1.8060904624960308e-06
1.24,7.543589743359662e-06
1.28,2.872127659389427e-05
1.3199999999999998,8.723634506994232e-05
1.3599999999999999,0.00019579280087171115
1.4,0.00034464004374530795
1.44,0.0005192437132518907
1.48,0.0007092814744772864
1.52,0.0009106896159263387
1.56,0.0011192329735903225
1.6,0.0013328257229786936
1.64,0.001550267133559019
1.68,0.0017707022720257464
1.72,0.0019935172235112427
1.76,0.0022182646012978754
1.8,0.0024446094493490132
1.84,0.00267229509050557
1.8800000000000001,0.002901120920616616
1.92,0.0031309274349723692
1.96,0.0033615858723306056
2.0,0.003592990889389148
