va_sim,ia_sim
0.48,4.800092615053764e-13
0.52,5.200206584787814e-13
0.5599999999999999,5.601318020520551e-13
0.6,6.005126951258433e-13
0.64,6.419977396920906e-13
0.6799999999999999,6.877848984787605e-13
0.72,7.503364249372702e-13
0.76,8.782211069480184e-13
0.8,1.2607007451870267e-12
0.84,2.6353251178501402e-12
0.88,7.87628903070603e-12
0.9199999999999999,2.8184164203859385e-11
0.96,1.072069820071131e-10
1.0,4.150383474399444e-10
1.04,1.6145173115100775e-09
1.08,6.288589317685056e-09
1.12,2.450128602608792e-08
1.1600000000000001,9.544776789251197e-08
1.2,3.715083008292569e-07
1.24,1.4410652470504132e-06
1.28,5.517321813364173e-06
1.3199999999999998,2.0162965217731046e-05
1.3599999999999999,6.485256758903199e-05
1.4,0.00016440254853271677
1.44,0.00032297688679109107
1.48,0.0005253255137949477
1.52,0.0007560063540385346
1.56,0.0010044552206804908
1.6,0.0012661316920204446
1.64,0.001536501984738937
1.68,0.0018131998568553572
1.72,0.0020947711906967453
1.76,0.0023801752012923803
1.8,0.0026686569997644693
1.84,0.0029596587533810732
1.8800000000000001,0.00325275799663452
1.92,0.0035476279126982133
1.96,0.00384401100430988
2.0,0.004141701098018088
