Trial,Va,Ia_sim
10,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80009262e-13 5.20017189e-13 5.60065015e-13 6.00183965e-13
 6.40516286e-13 6.81448821e-13 7.24067507e-13 7.71413315e-13
 8.32021084e-13 9.29846478e-13 1.13209268e-12 1.62734409e-12
 2.94471565e-12 6.56885657e-12 1.66654988e-11 4.49231485e-11
 1.24138262e-10 3.46333344e-10 9.69710763e-10 2.71874506e-09
 7.62615362e-09 2.13949644e-08 6.00230724e-08 1.68366478e-07
 4.72033570e-07 1.32149399e-06 3.68484214e-06 1.01632646e-05
 2.72492589e-05 6.85786905e-05 1.53685815e-04 2.96062350e-04
 4.93347217e-04 7.33704845e-04 1.00422801e-03 1.29816420e-03
 1.60812633e-03 1.92986174e-03 2.26066250e-03]"
11,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80002756e-13 5.20007214e-13 5.60045933e-13 6.00180496e-13
 6.40689758e-13 6.82641443e-13 7.30126029e-13 7.98814140e-13
 9.48774913e-13 1.41025646e-12 3.06579675e-12 9.29816901e-12
 3.30735560e-11 1.24091359e-10 4.72848980e-10 1.80951440e-09
 6.93268610e-09 2.65673646e-08 1.01792566e-07 3.89625375e-07
 1.48553155e-06 5.58185850e-06 1.99608346e-05 6.23382673e-05
 1.53657937e-04 2.95985731e-04 4.75782867e-04 6.79909320e-04
 8.99403595e-04 1.13036123e-03 1.36890723e-03 1.61299992e-03
 1.86137285e-03 2.11311827e-03 2.36757651e-03 2.62425896e-03
 2.88279490e-03 3.14289704e-03 3.40433876e-03]"
12,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80007093e-13 5.20017189e-13 5.60115756e-13 6.00471929e-13
 6.41930085e-13 6.87894186e-13 7.52286254e-13 8.92049455e-13
 1.34006001e-12 3.04876003e-12 9.91347716e-12 3.78654920e-11
 1.52061148e-10 6.18978366e-10 2.52844896e-09 1.03373640e-08
 4.22678671e-08 1.72748121e-07 7.04554853e-07 2.84943274e-06
 1.11552380e-05 3.94057748e-05 1.11016346e-04 2.36390603e-04
 4.04049279e-04 5.99040546e-04 8.10758215e-04 1.03485786e-03
 1.26687452e-03 1.50455503e-03 1.74656734e-03 1.99196205e-03
 2.24005511e-03 2.49034550e-03 2.74245653e-03 2.99609861e-03
 3.25104477e-03 3.50711412e-03 3.76416033e-03]"
13,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80036583e-13 5.20091782e-13 5.60752833e-13 6.03431367e-13
 6.55650881e-13 7.51395474e-13 1.04568958e-12 2.24570969e-12
 7.57741699e-12 3.17567968e-11 1.41914242e-10 6.44279554e-10
 2.93576239e-09 1.33880651e-08 6.10540488e-08 2.78191644e-07
 1.26248610e-06 5.62785084e-06 2.33915758e-05 7.94930073e-05
 1.96343118e-04 3.66588840e-04 5.71310805e-04 7.97084325e-04
 1.03590298e-03 1.28437270e-03 1.53924496e-03 1.79882384e-03
 2.06204859e-03 2.32815753e-03 2.59659593e-03 2.86695149e-03
 3.13891021e-03 3.41222794e-03 3.68671139e-03 3.96220512e-03
 4.23858240e-03 4.51573860e-03 4.79358640e-03]"
14,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80010563e-13 5.20027597e-13 5.60238921e-13 6.01116379e-13
 6.45211315e-13 7.04315078e-13 8.33465241e-13 1.28946680e-12
 3.27068060e-12 1.23690736e-11 5.46787580e-11 2.51963890e-10
 1.17241405e-09 5.46728727e-09 2.55057513e-08 1.18951344e-07
 5.53681569e-07 2.55408644e-06 1.13249921e-05 4.38767344e-05
 1.27032591e-04 2.66380871e-04 4.45334547e-04 6.48354007e-04
 8.65783185e-04 1.09379364e-03 1.32856247e-03 1.56818521e-03
 1.81152986e-03 2.05778826e-03 2.30637759e-03 2.55687002e-03
 2.80894312e-03 3.06234841e-03 3.31689070e-03 3.57241409e-03
 3.82879221e-03 4.08592128e-03 4.34371510e-03]"
15,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80000588e-13 5.20000709e-13 5.60002565e-13 6.00007023e-13
 6.40021890e-13 6.80065379e-13 7.20193002e-13 7.60580834e-13
 8.01741486e-13 8.45224064e-13 8.95671558e-13 9.67005122e-13
 1.10098649e-12 1.42286530e-12 2.30832020e-12 4.88413303e-12
 1.25299163e-11 3.53823099e-11 1.03844586e-10 3.09106589e-10
 9.24676839e-10 2.77088874e-09 8.30808328e-09 2.49145607e-08
 7.47103536e-08 2.23950785e-07 6.70549123e-07 2.00092225e-06
 5.91152258e-06 1.69849742e-05 4.56403288e-05 1.07769443e-04
 2.14401299e-04 3.62962052e-04 5.43435263e-04 7.45622794e-04
 9.64480616e-04 1.19453240e-03 1.43272810e-03]"
16,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.85937245e-13 5.36247696e-13 7.51443179e-13 1.68714088e-12
 6.81346993e-12 3.57368406e-11 1.99794565e-10 1.13122368e-09
 6.42006260e-09 3.64463298e-08 2.06732109e-07 1.16662953e-06
 6.40068686e-06 3.09878010e-05 1.07175505e-04 2.46179478e-04
 4.28231361e-04 6.34786693e-04 8.55299307e-04 1.08593950e-03
 1.32283950e-03 1.56416391e-03 1.80886619e-03 2.05619908e-03
 2.30562656e-03 2.55675808e-03 2.80930101e-03 3.06303080e-03
 3.31777174e-03 3.57338388e-03 3.82975407e-03 4.08678960e-03
 4.34441358e-03 4.60256160e-03 4.86117916e-03 5.12021975e-03
 5.37964340e-03 5.63941549e-03 5.89950585e-03]"
17,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80003190e-13 5.20007214e-13 5.60050270e-13 6.00199578e-13
 6.40791240e-13 6.83137574e-13 7.32433211e-13 8.09280594e-13
 9.95330554e-13 1.61420703e-12 3.94864089e-12 1.30828395e-11
 4.91685182e-11 1.92078739e-10 7.58396003e-10 3.00289772e-09
 1.18985960e-08 4.71499957e-08 1.86755984e-07 7.38282439e-07
 2.89631699e-06 1.10398967e-05 3.84334019e-05 1.08958839e-04
 2.36058910e-04 4.09821214e-04 6.14452824e-04 8.38075988e-04
 1.07579275e-03 1.32249033e-03 1.57558689e-03 1.83356816e-03
 2.09535611e-03 2.36017495e-03 2.62745762e-03 2.89677864e-03
 3.16781146e-03 3.44030056e-03 3.71404258e-03]"
18,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80073013e-13 5.20158569e-13 5.60760639e-13 6.02453851e-13
 6.47923555e-13 7.05568416e-13 8.02516040e-13 1.02629884e-12
 1.65940178e-12 3.61348104e-12 9.83063544e-12 2.98056718e-11
 9.41804065e-11 3.01842550e-10 9.71922542e-10 3.13430387e-09
 1.01124307e-08 3.26295311e-08 1.05268316e-07 3.39390485e-07
 1.09185796e-06 3.48861326e-06 1.09137340e-05 3.22369723e-05
 8.39047398e-05 1.80860525e-04 3.23008682e-04 4.99683696e-04
 7.00139597e-04 9.16413607e-04 1.14469911e-03 1.38122875e-03
 1.62389830e-03 1.87134636e-03 2.12258879e-03 2.37690306e-03
 2.63374850e-03 2.89271152e-03 3.15346961e-03]"
19,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80721799e-13 5.21985233e-13 5.83923535e-13 7.37736261e-13
 1.43299088e-12 5.24549328e-12 2.70049426e-11 1.52090359e-10
 8.72051602e-10 5.01678048e-09 2.88751384e-08 1.66104823e-07
 9.51899030e-07 5.33967500e-06 2.70635035e-05 1.00924903e-04
 2.46564765e-04 4.44344403e-04 6.71906826e-04 9.16132811e-04
 1.17242697e-03 1.43604552e-03 1.70478191e-03 1.97741378e-03
 2.25306763e-03 2.53111840e-03 2.81111301e-03 3.09271339e-03
 3.37566107e-03 3.65975435e-03 3.94483304e-03 4.23076790e-03
 4.51745326e-03 4.80480164e-03 5.09273986e-03 5.38120609e-03
 5.67014766e-03 5.95951933e-03 6.24928196e-03]"
