Trial,Va,Ia_sim
60,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80029645e-13 5.20076170e-13 5.60694720e-13 6.03383662e-13
 6.56479211e-13 7.60241696e-13 1.11071742e-12 2.66251864e-12
 1.00639080e-11 4.59486312e-11 2.20526749e-10 1.07043876e-09
 5.20864522e-09 2.53561081e-08 1.23400447e-07 5.99405600e-07
 2.88462587e-06 1.33054344e-05 5.29418298e-05 1.53812626e-04
 3.19958413e-04 5.30562928e-04 7.67736172e-04 1.02075185e-03
 1.28537983e-03 1.55743266e-03 1.83482754e-03 2.11632253e-03
 2.40103052e-03 2.68831146e-03 2.97769504e-03 3.26882649e-03
 3.56143216e-03 3.85529691e-03 4.15024876e-03 4.44614822e-03
 4.74288067e-03 5.04035083e-03 5.33847871e-03]"
61,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80006226e-13 5.20015454e-13 5.60097541e-13 6.00373917e-13
 6.41427016e-13 6.85456032e-13 7.40863967e-13 8.39785706e-13
 1.10510733e-12 2.00676194e-12 5.34178951e-12 1.79822459e-11
 6.62074067e-11 2.50511185e-10 9.55187835e-10 3.64977090e-09
 1.39533056e-08 5.33451320e-08 2.03842114e-07 7.77311030e-07
 2.94098552e-06 1.08157863e-05 3.64764209e-05 1.01396455e-04
 2.18306073e-04 3.79039375e-04 5.69294765e-04 7.77904997e-04
 1.00018195e-03 1.23120462e-03 1.46846578e-03 1.71048911e-03
 1.95622390e-03 2.20491365e-03 2.45600517e-03 2.70908334e-03
 2.96382953e-03 3.21999445e-03 3.47737971e-03]"
62,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80006226e-13 5.20015021e-13 5.60098842e-13 6.00393867e-13
 6.41561457e-13 6.86194157e-13 7.44582347e-13 8.57554479e-13
 1.18713633e-12 2.37633004e-12 6.97686266e-12 2.51151521e-11
 9.69774374e-11 3.82040744e-10 1.51317598e-09 6.00179302e-09
 2.38125468e-08 9.44618630e-08 3.74330868e-07 1.47718609e-06
 5.73575867e-06 2.10572894e-05 6.63575159e-05 1.61905449e-04
 3.06998764e-04 4.87131775e-04 6.89654564e-04 9.06276453e-04
 1.13339789e-03 1.36749132e-03 1.60669700e-03 1.84985482e-03
 2.09613232e-03 2.34492372e-03 2.59577953e-03 2.84835807e-03
 3.10239418e-03 3.35767833e-03 3.61404236e-03]"
63,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80004925e-13 5.20011551e-13 5.60077158e-13 6.00310600e-13
 6.41250074e-13 6.85038831e-13 7.40292376e-13 8.41735535e-13
 1.12923820e-12 2.16618650e-12 6.22193269e-12 2.24375050e-11
 8.76332895e-11 3.50122793e-10 1.40731199e-09 5.66547048e-09
 2.28154536e-08 9.18650039e-08 3.69495651e-07 1.47971725e-06
 5.82574877e-06 2.16116610e-05 6.82325145e-05 1.65401395e-04
 3.11128077e-04 4.90640019e-04 6.91608499e-04 9.06080161e-04
 1.13060261e-03 1.36181133e-03 1.59793062e-03 1.83784954e-03
 2.08077047e-03 2.32611256e-03 2.57344441e-03 2.82243781e-03
 3.07283786e-03 3.32444301e-03 3.57709136e-03]"
64,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[8.36649370e-12 1.01772587e-10 1.30050118e-09 1.66877606e-08
 2.13839667e-07 2.68088845e-06 2.72336798e-05 1.30484330e-04
 3.07920584e-04 5.20264258e-04 7.49495489e-04 9.87586591e-04
 1.23200049e-03 1.48027460e-03 1.73128283e-03 1.98438443e-03
 2.23912087e-03 2.49516348e-03 2.75227246e-03 3.01026771e-03
 3.26901068e-03 3.52839263e-03 3.78832673e-03 4.04874255e-03
 4.30958224e-03 4.57079770e-03 4.83234853e-03 5.09420046e-03
 5.35632420e-03 5.61869448e-03 5.88128942e-03 6.14408989e-03
 6.40707908e-03 6.67024218e-03 6.93356603e-03 7.19703891e-03
 7.46065031e-03 7.72439083e-03 7.98825196e-03]"
65,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80007527e-13 5.20017623e-13 5.60123562e-13 6.00515297e-13
 6.42144324e-13 6.88918540e-13 7.57094908e-13 9.14295549e-13
 1.44178419e-12 3.50946962e-12 1.19835218e-11 4.71045208e-11
 1.93061993e-10 8.00035810e-10 3.32454402e-09 1.38242563e-08
 5.74846287e-08 2.38871413e-07 9.89626104e-07 4.04988596e-06
 1.58285720e-05 5.38414062e-05 1.41107391e-04 2.80562433e-04
 4.57535773e-04 6.58191848e-04 8.73480368e-04 1.09960855e-03
 1.33280999e-03 1.57114581e-03 1.81343319e-03 2.05882609e-03
 2.30671168e-03 2.55663768e-03 2.80826186e-03 3.06131960e-03
 3.31560248e-03 3.57094368e-03 3.82720771e-03]"
66,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.87086500e-13 5.37851881e-13 7.07900752e-13 1.27569223e-12
 3.72693282e-12 1.47827844e-11 6.51491708e-11 2.95107117e-10
 1.34552983e-09 6.14413218e-09 2.80633341e-08 1.28133613e-07
 5.83887040e-07 2.63690579e-06 1.14579896e-05 4.37227807e-05
 1.25978866e-04 2.64623644e-04 4.43631238e-04 6.47377545e-04
 8.65980564e-04 1.09550505e-03 1.33200691e-03 1.57351773e-03
 1.81886814e-03 2.06722347e-03 2.31798184e-03 2.57070153e-03
 2.82504975e-03 3.08077011e-03 3.33766126e-03 3.59556242e-03
 3.85434330e-03 4.11389694e-03 4.37413451e-03 4.63498148e-03
 4.89637473e-03 5.15826036e-03 5.42059198e-03]"
67,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80011430e-13 5.20028465e-13 5.60225911e-13 6.01000152e-13
 6.44422883e-13 6.99568008e-13 8.06572691e-13 1.14299976e-12
 2.49441526e-12 8.33619371e-12 3.40436004e-11 1.47637654e-10
 6.50045828e-10 2.87255880e-09 1.27042908e-08 5.61873918e-08
 2.48306468e-07 1.09334751e-06 4.73913124e-06 1.93301890e-05
 6.59425038e-05 1.66486080e-04 3.17420855e-04 5.01950552e-04
 7.07163750e-04 9.25167033e-04 1.15263294e-03 1.38634045e-03
 1.62461730e-03 1.86642604e-03 2.11102269e-03 2.35786647e-03
 2.60655635e-03 2.85678758e-03 3.10832366e-03 3.36097764e-03
 3.61459944e-03 3.86906684e-03 4.12427905e-03]"
68,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80375722e-13 5.21028533e-13 5.72091853e-13 6.68549417e-13
 1.02858260e-12 2.88274959e-12 1.32066831e-11 7.15429825e-11
 4.02045263e-10 2.27534444e-09 1.28934635e-08 7.30574090e-08
 4.13255794e-07 2.31486350e-06 1.23278206e-05 5.39079584e-05
 1.58726312e-04 3.22890553e-04 5.23558277e-04 7.45033675e-04
 9.78790425e-04 1.22150554e-03 1.46996588e-03 1.72257953e-03
 1.97838906e-03 2.23670988e-03 2.49704733e-03 2.75903700e-03
 3.02240329e-03 3.28693311e-03 3.55245855e-03 3.81884510e-03
 4.08598344e-03 4.35378358e-03 4.62217059e-03 4.89108147e-03
 5.16046272e-03 5.43026859e-03 5.70045962e-03]"
69,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80000588e-13 5.20001143e-13 5.60009070e-13 6.00034779e-13
 6.40129443e-13 6.80472172e-13 7.21734304e-13 7.66368739e-13
 8.23384763e-13 9.25867022e-13 1.19529473e-12 2.07773122e-12
 5.21105901e-12 1.66094222e-11 5.83560656e-11 2.11538140e-10
 7.73897081e-10 2.83868469e-09 1.04199045e-08 3.82525359e-08
 1.40387920e-07 5.14572797e-07 1.87728096e-06 6.73556073e-06
 2.29119298e-05 6.79681596e-05 1.60800079e-04 3.02231557e-04
 4.79491445e-04 6.80331326e-04 8.96269163e-04 1.12351758e-03
 1.35833157e-03 1.59870667e-03 1.84338375e-03 2.09145841e-03
 2.34227157e-03 2.59533361e-03 2.85027209e-03]"
70,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80006226e-13 5.20015454e-13 5.60102312e-13 6.00406010e-13
 6.41601355e-13 6.86316455e-13 7.44913679e-13 8.58263113e-13
 1.18757868e-12 2.36871373e-12 6.90965167e-12 2.47025447e-11
 9.47646310e-11 3.70989822e-10 1.46036991e-09 5.75693849e-09
 2.27017967e-08 8.95082402e-08 3.52568839e-07 1.38334289e-06
 5.34685698e-06 1.96158303e-05 6.22819427e-05 1.54048812e-04
 2.95689613e-04 4.73154759e-04 6.73598808e-04 8.88488964e-04
 1.11413487e-03 1.34689730e-03 1.58486468e-03 1.82685064e-03
 2.07200464e-03 2.31970848e-03 2.56950408e-03 2.82104370e-03
 3.07405775e-03 3.32833345e-03 3.58370014e-03]"
71,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80007527e-13 5.20018056e-13 5.60113587e-13 6.00445908e-13
 6.41741868e-13 6.86811719e-13 7.46641464e-13 8.64198470e-13
 1.20751846e-12 2.43380056e-12 7.11334377e-12 2.52985783e-11
 9.63044722e-11 3.73891270e-10 1.45940803e-09 5.70462804e-09
 2.23057942e-08 8.72059574e-08 3.40621008e-07 1.32552430e-06
 5.08581327e-06 1.85781769e-05 5.91565372e-05 1.47708878e-04
 2.86268239e-04 4.61298897e-04 6.59838570e-04 8.73150913e-04
 1.09746388e-03 1.32903648e-03 1.56590806e-03 1.80686658e-03
 2.05104372e-03 2.29780886e-03 2.54669530e-03 2.79734908e-03
 3.04949606e-03 3.30292000e-03 3.55744761e-03]"
72,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80005792e-13 5.20013720e-13 5.60089301e-13 6.00349631e-13
 6.41362831e-13 6.85323326e-13 7.40792844e-13 8.41223792e-13
 1.11728769e-12 2.07941997e-12 5.72154216e-12 1.98325115e-11
 7.48378989e-11 2.89588839e-10 1.12834948e-09 4.40461484e-09
 1.72015305e-08 6.71741316e-08 2.62140348e-07 1.02007529e-06
 3.92638264e-06 1.45269199e-05 4.79596486e-05 1.26161932e-04
 2.55831082e-04 4.24990979e-04 6.19879817e-04 8.30804206e-04
 1.05365299e-03 1.28426124e-03 1.52047872e-03 1.76100309e-03
 2.00490410e-03 2.25150889e-03 2.50032207e-03 2.75096960e-03
 3.00316294e-03 3.25667523e-03 3.51132525e-03]"
73,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80004057e-13 5.20010250e-13 5.60063280e-13 6.00238609e-13
 6.40898792e-13 6.83385640e-13 7.32753268e-13 8.08045471e-13
 9.81001738e-13 1.52189025e-12 3.44889742e-12 1.05978594e-11
 3.74195831e-11 1.38354840e-10 5.18498855e-10 1.95050319e-09
 7.34508449e-09 2.76663024e-08 1.04197436e-07 3.92156510e-07
 1.47194258e-06 5.46996180e-06 1.96252947e-05 6.36671203e-05
 1.68041644e-04 3.45588033e-04 5.81869580e-04 8.57303111e-04
 1.15730037e-03 1.47561552e-03 1.80582695e-03 2.14461152e-03
 2.48996736e-03 2.84046613e-03 3.19507582e-03 3.55303788e-03
 3.91378060e-03 4.27686357e-03 4.64194111e-03]"
74,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80002756e-13 5.20005480e-13 5.60031188e-13 6.00106770e-13
 6.40370569e-13 6.81280553e-13 7.24428330e-13 7.75306902e-13
 8.52906287e-13 1.02286235e-12 1.51203008e-12 3.10450710e-12
 8.51038510e-12 2.70966522e-11 9.12387258e-11 3.12836627e-10
 1.07865135e-09 3.72542379e-09 1.28729671e-08 4.44840026e-08
 1.53672589e-07 5.30235745e-07 1.82196936e-06 6.17394131e-06
 2.00251616e-05 5.82670699e-05 1.39451282e-04 2.68602102e-04
 4.35716572e-04 6.28698637e-04 8.38415204e-04 1.06072574e-03
 1.29143321e-03 1.52828323e-03 1.76987049e-03 2.01518755e-03
 2.26350174e-03 2.51427036e-03 2.76708181e-03]"
75,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80005792e-13 5.20014153e-13 5.60095807e-13 6.00388662e-13
 6.41572732e-13 6.86371966e-13 7.45828746e-13 8.64699805e-13
 1.22439992e-12 2.56030960e-12 7.85329440e-12 2.91863287e-11
 1.15537863e-10 4.65441942e-10 1.88364735e-09 7.63202543e-09
 3.09295274e-08 1.25308700e-07 5.06935555e-07 2.03863044e-06
 8.01047163e-06 2.91220775e-05 8.73631723e-05 1.98925077e-04
 3.56733934e-04 5.45423409e-04 7.53672442e-04 9.74375961e-04
 1.20437676e-03 1.44065925e-03 1.68160171e-03 1.92616896e-03
 2.17361483e-03 2.42339317e-03 2.67509595e-03 2.92841120e-03
 3.18309556e-03 3.43895587e-03 3.69583646e-03]"
76,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80040487e-13 5.20097854e-13 5.60712067e-13 6.02989013e-13
 6.52547461e-13 7.32679542e-13 9.41150803e-13 1.68841763e-12
 4.69761990e-12 1.72026985e-11 6.95726601e-11 2.89300205e-10
 1.21161205e-09 5.08339206e-09 2.13361897e-08 8.95445403e-08
 3.75490346e-07 1.56891128e-06 6.45950754e-06 2.51828323e-05
 8.38164609e-05 2.11880838e-04 4.08428146e-04 6.52481604e-04
 9.26315112e-04 1.21865324e-03 1.52471197e-03 1.83980873e-03
 2.16150823e-03 2.48830480e-03 2.81911937e-03 3.15316820e-03
 3.48987086e-03 3.82878677e-03 4.16957441e-03 4.51196417e-03
 4.85573979e-03 5.20072531e-03 5.54677581e-03]"
77,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80011864e-13 5.20027597e-13 5.60189482e-13 6.00767699e-13
 6.43106228e-13 6.92573603e-13 7.70904174e-13 9.66081382e-13
 1.63430033e-12 4.21756467e-12 1.45536838e-11 5.62763421e-11
 2.25063653e-10 9.08254981e-10 3.67390720e-09 1.48694248e-08
 6.01801627e-08 2.43404033e-07 9.81723227e-07 3.91577415e-06
 1.49799927e-05 5.06912783e-05 1.34472936e-04 2.71997475e-04
 4.49597866e-04 6.52866949e-04 8.72020591e-04 1.10295558e-03
 1.34154758e-03 1.58567774e-03 1.83406258e-03 2.08578498e-03
 2.34018156e-03 2.59676370e-03 2.85516230e-03 3.11509247e-03
 3.37633013e-03 3.63869614e-03 3.90204521e-03]"
78,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80001455e-13 5.20003311e-13 5.60016443e-13 6.00060800e-13
 6.40217046e-13 6.80778350e-13 7.22792486e-13 7.70014261e-13
 8.35912936e-13 9.68786683e-13 1.34185024e-12 2.57625865e-12
 6.89957640e-12 2.23001617e-11 7.74253760e-11 2.75008526e-10
 9.83463309e-10 3.52394162e-09 1.26338727e-08 4.52970978e-08
 1.62352626e-07 5.81113763e-07 2.06994107e-06 7.25021730e-06
 2.40958311e-05 7.01567231e-05 1.64314354e-04 3.07828325e-04
 4.88192047e-04 6.93038552e-04 9.13649710e-04 1.14609500e-03
 1.38647671e-03 1.63269759e-03 1.88343684e-03 2.13774542e-03
 2.39493128e-03 2.65448010e-03 2.91600055e-03]"
79,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80003190e-13 5.20008082e-13 5.60052005e-13 6.00199578e-13
 6.40764351e-13 6.82927673e-13 7.31205894e-13 8.02902016e-13
 9.64251248e-13 1.46884154e-12 3.28754558e-12 1.01373753e-11
 3.62490550e-11 1.36105373e-10 5.18294903e-10 1.98139493e-09
 7.58261640e-09 2.90240895e-08 1.11071028e-07 4.24570653e-07
 1.61582485e-06 6.05001192e-06 2.14508254e-05 6.58069739e-05
 1.58540114e-04 2.99782139e-04 4.76025983e-04 6.74938855e-04
 8.88229065e-04 1.11225361e-03 1.34342641e-03 1.57984499e-03
 1.82031958e-03 2.06399616e-03 2.31025294e-03 2.55862838e-03
 2.80877156e-03 3.06041016e-03 3.31332900e-03]"
80,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80017501e-13 5.20042776e-13 5.60325224e-13 6.01401741e-13
 6.46035309e-13 7.05997760e-13 8.31988992e-13 1.24240288e-12
 2.87798865e-12 9.79111670e-12 3.94376996e-11 1.67010511e-10
 7.16407126e-10 3.08281121e-09 1.32754820e-08 5.71684172e-08
 2.46004854e-07 1.05508654e-06 4.46211129e-06 1.78865697e-05
 6.10994778e-05 1.57150426e-04 3.05423870e-04 4.89633844e-04
 6.96178530e-04 9.16517506e-04 1.14706501e-03 1.38431179e-03
 1.62644412e-03 1.87234537e-03 2.12121570e-03 2.37247470e-03
 2.62569290e-03 2.88054453e-03 3.13677723e-03 3.39419182e-03
 3.65262863e-03 3.91195776e-03 4.17207226e-03]"
81,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80004057e-13 5.20008949e-13 5.60061979e-13 6.00247282e-13
 6.40988998e-13 6.83945088e-13 7.35756074e-13 8.22913786e-13
 1.05121554e-12 1.84310553e-12 4.88542280e-12 1.69137334e-11
 6.48232900e-11 2.56007169e-10 1.01928479e-09 4.06688790e-09
 1.62349482e-08 6.48068210e-08 2.58511337e-07 1.02811676e-06
 4.04130339e-06 1.52144846e-05 5.06017163e-05 1.32237536e-04
 2.64996590e-04 4.35851585e-04 6.31205783e-04 8.41790221e-04
 1.06368520e-03 1.29295797e-03 1.52757755e-03 1.76630793e-03
 2.00826552e-03 2.25281064e-03 2.49947165e-03 2.74789200e-03
 2.99779627e-03 3.24896777e-03 3.50123313e-03]"
82,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80017935e-13 5.20044945e-13 5.60383337e-13 6.01800727e-13
 6.48458717e-13 7.19727229e-13 9.06585571e-13 1.63632389e-12
 4.91578393e-12 2.01703914e-11 9.16680429e-11 4.27318815e-10
 2.00358780e-09 9.40624324e-09 4.41653969e-08 2.07232304e-07
 9.69059349e-07 4.46087137e-06 1.92547939e-05 6.83176699e-05
 1.74658942e-04 3.32600517e-04 5.23823098e-04 7.35170062e-04
 9.58871646e-04 1.19168865e-03 1.43050758e-03 1.67372071e-03
 1.92033145e-03 2.16962512e-03 2.42108231e-03 2.67431778e-03
 2.92903872e-03 3.18501778e-03 3.44207521e-03 3.70006662e-03
 3.95887438e-03 4.21840149e-03 4.47856702e-03]"
83,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80017501e-13 5.20043644e-13 5.60339102e-13 6.01510161e-13
 6.46716188e-13 7.09883541e-13 8.52967003e-13 1.35163929e-12
 3.43252163e-12 1.25534938e-11 5.29995726e-11 2.32827562e-10
 1.03283601e-09 4.59227830e-09 2.04283326e-08 9.08582939e-08
 4.03588025e-07 1.78237011e-06 7.67892722e-06 3.02420479e-05
 9.48092042e-05 2.17183965e-04 3.86303259e-04 5.85076436e-04
 8.01449096e-04 1.03075893e-03 1.26812729e-03 1.51117555e-03
 1.75854856e-03 2.00928141e-03 2.26268193e-03 2.51824663e-03
 2.77559907e-03 3.03445112e-03 3.29457777e-03 3.55580027e-03
 3.81797442e-03 4.08098228e-03 4.34472628e-03]"
84,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80001455e-13 5.20002878e-13 5.60016877e-13 6.00062534e-13
 6.40235261e-13 6.80874628e-13 7.23239177e-13 7.72010927e-13
 8.44543185e-13 1.00518725e-12 1.49260031e-12 3.19182614e-12
 9.38506391e-12 3.22443365e-11 1.16909539e-10 4.30781394e-10
 1.59465812e-09 5.91067078e-09 2.19149162e-08 8.12448980e-08
 3.00972989e-07 1.11177924e-06 4.06433084e-06 1.43333801e-05
 4.56986150e-05 1.18909347e-04 2.42474004e-04 4.06526075e-04
 5.97709590e-04 8.06003108e-04 1.02707571e-03 1.25647800e-03
 1.49189450e-03 1.73192391e-03 1.97556595e-03 2.22209737e-03
 2.47098606e-03 2.72183068e-03 2.97432190e-03]"
85,"[0.48 0.52 0.56 0.6  0.64 0.68 0.72 0.76 0.8  0.84 0.88 0.92 0.96 1.
 1.04 1.08 1.12 1.16 1.2  1.24 1.28 1.32 1.36 1.4  1.44 1.48 1.52 1.56
 1.6  1.64 1.68 1.72 1.76 1.8  1.84 1.88 1.92 1.96 2.  ]","[4.80011864e-13 5.20029332e-13 5.60195119e-13 6.00772904e-13
 6.43065462e-13 6.92155534e-13 7.68178056e-13 9.50954593e-13
 1.55686748e-12 3.83991710e-12 1.27704453e-11 4.80488583e-11
 1.87759430e-10 7.41394900e-10 2.93563596e-09 1.16321968e-08
 4.60954797e-08 1.82596232e-07 7.22103696e-07 2.83689642e-06
 1.08701807e-05 3.84151099e-05 1.11982986e-04 2.49692830e-04
 4.42464543e-04 6.72136726e-04 9.24443702e-04 1.19354991e-03
 1.47326974e-03 1.76050271e-03 2.05345692e-03 2.35085826e-03
 2.65179155e-03 2.95558991e-03 3.26175434e-03 3.56990271e-03
 3.87973664e-03 4.19101905e-03 4.50355874e-03]"
