vd,vg,id_sim,gm_sim
0.0,-3.0,4.460658881234825e-08,-4.064499022428158e-08
0.1,-3.0,1.430600151465353e-07,-4.3338126514253986e-08
0.2,-3.0,2.418324899363026e-07,-4.64848298712865e-08
0.30000000000000004,-3.0,3.409440517635808e-07,-4.979559443743004e-08
0.4,-3.0,4.404130437910536e-07,-5.327495731179774e-08
0.5,-3.0,5.402585445827847e-07,-5.6930349033591914e-08
0.6000000000000001,-3.0,6.405004066361659e-07,-6.07693982982094e-08
0.7000000000000001,-3.0,7.411592792070844e-07,-6.480018869479528e-08
0.8,-3.0,8.422566333835351e-07,-6.903120163032002e-08
0.9,-3.0,9.438147882446078e-07,-7.347097082766416e-08
1.0,-3.0,1.0458569376962613e-06,-7.812754644932838e-08
1.1,-3.0,1.1484071776436866e-06,-8.300796927401242e-08
1.2000000000000002,-3.0,1.2514905333717226e-06,-8.811793854272242e-08
1.3,-3.0,1.355132986861378e-06,-9.346171904507243e-08
1.4000000000000001,-3.0,1.4593615038265724e-06,-9.904217913605122e-08
1.5,-3.0,1.5642040601884713e-06,-1.048608402487255e-07
1.6,-3.0,1.6696896680138025e-06,-1.1091788872269282e-07
1.7000000000000002,-3.0,1.7758484007520389e-06,-1.1721219076188939e-07
1.8,-3.0,1.882711418931166e-06,-1.2374136347530692e-07
1.9000000000000001,-3.0,1.990310997236334e-06,-1.305019183019623e-07
2.0,-3.0,2.09868055644117e-06,-1.3748943768364912e-07
2.1,-3.0,2.2078547038810123e-06,-1.4469871370253446e-07
2.2,-3.0,2.317869285297701e-06,-1.5212382242921942e-07
2.3000000000000003,-3.0,2.42876144891988e-06,-1.597581613018501e-07
2.4000000000000004,-3.0,2.540569716005161e-06,-1.67594479812677e-07
2.5,-3.0,2.6533340486724158e-06,-1.7562487759401048e-07
2.6,-3.0,2.767095907107299e-06,-1.8384072987874113e-07
2.7,-3.0,2.8818982938851714e-06,-1.9223251609835671e-07
2.8000000000000003,-3.0,2.997785789820373e-06,-2.0078958917876366e-07
2.9000000000000004,-3.0,3.114804586760088e-06,-2.0949992092734588e-07
3.0,-3.0,3.2330025198819923e-06,-2.1834984229881975e-07
3.1,-3.0,3.3524291000888275e-06,-2.273237757795029e-07
3.2,-3.0,3.4731355452091624e-06,-2.3640394537310953e-07
3.3000000000000003,-3.0,3.5951748110059607e-06,-2.4557006844034265e-07
3.4000000000000004,-3.0,3.718601625531817e-06,-2.547990698741145e-07
3.5,-3.0,3.8434725299788155e-06,-2.6406484293499953e-07
3.6,-3.0,3.969845929517953e-06,-2.7333809678213187e-07
3.7,-3.0,4.097782152423766e-06,-2.825862694889695e-07
3.8000000000000003,-3.0,4.227343515330542e-06,-2.917734875322748e-07
3.9000000000000004,-3.0,4.358594390523979e-06,-3.0086052960136964e-07
4.0,-3.0,4.491601273333295e-06,-3.098047752983053e-07
4.1000000000000005,-3.0,4.626432848768636e-06,-3.1856012874678125e-07
4.2,-3.0,4.763160057273942e-06,-3.2707691900095904e-07
