Trial,total_error,error_id,error_gm,Parameters
10,13.399085397026719,13.504689087841319,13.293481706212118,"{'RTH0': 31.88261425631245, 'VOFF': -2.0987907457872486, 'NFACTOR': 0.32368381099083443, 'U0': 0.2796072552002069, 'UA': 1.1864190539800193e-07, 'UB': 1.414075876025837e-20, 'VSAT': 221352.91894094332, 'LAMBDA': 0.002326641853141828, 'UTE': -0.19382528098226892, 'ETA0': 0.033373277337663876, 'VDSCALE': 4.76935301450242, 'CDSCD': 0.11721829774922204, 'RSC': 0.00010560054498849752, 'RDC': 0.0002210719989499985, 'DELTA': 4.99424067519717, 'THESAT': 2.506456982569281, 'NJGD': 15.976110891230627, 'RNJGD': 16.04802520649119, 'IGDDIO': 7.773633814853986, 'RIGDDIO': 2.4399606972140323e-08, 'NJGS': 18.427680899095314, 'RNJGS': 9.986115692408669, 'IGSDIO': 5.131997883187113, 'RIGSDIO': 2.7264421367379144e-08, 'VSATACCS': 147142.21590604496, 'NS0ACCS': 1.0247492631345283e+20, 'NS0ACCD': 7.848228439130748e+18, 'U0ACCS': 0.119655739867312, 'U0ACCD': 0.15749373595322022, 'MEXPACCS': 2.685230129941693, 'MEXPACCD': 1.025003507597169, 'IMIN': 1.3724859377250578e-13, 'GDSMIN': 3.5878163913374666e-07, 'UTES': -6.5073710770955655, 'UTED': -11.239000780544423}"
11,12.953854392034113,13.41880935849869,12.488899425569539,"{'RTH0': 31.50294299457137, 'VOFF': -2.06392621814539, 'NFACTOR': 0.10227770906873557, 'U0': 0.29770256493634983, 'UA': 2.5940662587640117e-08, 'UB': 1.2469543525740897e-20, 'VSAT': 210360.33805539474, 'LAMBDA': 0.0024180243228371138, 'UTE': -0.24233211272817629, 'ETA0': 0.03574675678700147, 'VDSCALE': 4.772571619047384, 'CDSCD': 0.11173994953651592, 'RSC': 0.00015270062157624604, 'RDC': 0.00011627141344473896, 'DELTA': 3.8923183749025316, 'THESAT': 2.3247384055004816, 'NJGD': 14.190810786300503, 'RNJGD': 19.930499772553894, 'IGDDIO': 7.942278099544332, 'RIGDDIO': 3.998433171806847e-08, 'NJGS': 19.100513232619367, 'RNJGS': 9.214055329706136, 'IGSDIO': 6.856260458471497, 'RIGSDIO': 4.983780611309451e-08, 'VSATACCS': 142754.42125838227, 'NS0ACCS': 4.403262797262713e+20, 'NS0ACCD': 5.133408919581742e+18, 'U0ACCS': 0.12369828307992209, 'U0ACCD': 0.16299639708709782, 'MEXPACCS': 3.092937840780875, 'MEXPACCD': 1.3837136126575968, 'IMIN': 8.403270988966389e-13, 'GDSMIN': 9.973518989453067e-07, 'UTES': -8.735687359130303, 'UTED': -11.036923006074773}"
12,13.083204257027937,13.387312231248522,12.779096282807352,"{'RTH0': 32.48639068259652, 'VOFF': -2.0724878349968785, 'NFACTOR': 0.10818775743239616, 'U0': 0.29801718777231895, 'UA': 9.045333138063234e-08, 'UB': 1.3276982116993011e-20, 'VSAT': 208988.78980178843, 'LAMBDA': 0.0023067487092524926, 'UTE': -0.20279837200056622, 'ETA0': 0.033773119513158256, 'VDSCALE': 4.886581404767599, 'CDSCD': 0.11994916780843823, 'RSC': 0.0001330045654733429, 'RDC': 0.00010078878561240395, 'DELTA': 4.016760627027354, 'THESAT': 2.4937869504771184, 'NJGD': 14.558010664879182, 'RNJGD': 19.78042622171162, 'IGDDIO': 7.842491965419045, 'RIGDDIO': 4.0232202236976384e-08, 'NJGS': 19.17601635870983, 'RNJGS': 9.46386246142571, 'IGSDIO': 5.895906919760963, 'RIGSDIO': 4.847594020399331e-08, 'VSATACCS': 141287.50374021663, 'NS0ACCS': 4.886788335676931e+20, 'NS0ACCD': 5.00679259641396e+18, 'U0ACCS': 0.1214201919039526, 'U0ACCD': 0.16342902821006886, 'MEXPACCS': 2.9475986505433505, 'MEXPACCD': 1.262674806474999, 'IMIN': 9.951475559449732e-13, 'GDSMIN': 9.470736322801075e-07, 'UTES': -9.679418157191531, 'UTED': -11.016776166258323}"
13,14.815609167351944,14.041001267905683,15.590217066798207,"{'RTH0': 31.868587169276864, 'VOFF': -2.0609124171314956, 'NFACTOR': 0.10418038819806782, 'U0': 0.29861918423589967, 'UA': 3.285240610702402e-07, 'UB': 1.1233581080884278e-20, 'VSAT': 211222.53590661287, 'LAMBDA': 0.0014570946389036012, 'UTE': -0.5776973012038831, 'ETA0': 0.03850850124256219, 'VDSCALE': 4.740521039853391, 'CDSCD': 0.10797847620213366, 'RSC': 0.00014899272692509463, 'RDC': 0.0001270900104030448, 'DELTA': 4.108366132197405, 'THESAT': 2.3434844603415015, 'NJGD': 14.216341860026084, 'RNJGD': 19.979251399994002, 'IGDDIO': 7.565357503352455, 'RIGDDIO': 4.1232328890243705e-08, 'NJGS': 18.53928747751587, 'RNJGS': 9.584618142394003, 'IGSDIO': 7.9826083076393335, 'RIGSDIO': 3.044587915452612e-08, 'VSATACCS': 137165.72500626877, 'NS0ACCS': 1.0362430991169334e+20, 'NS0ACCD': 7.14187262655793e+18, 'U0ACCS': 0.12441106148695927, 'U0ACCD': 0.1505082608627772, 'MEXPACCS': 3.1233117114126605, 'MEXPACCD': 2.010973541730226, 'IMIN': 8.061989988485291e-13, 'GDSMIN': 4.3535172189153864e-07, 'UTES': -8.755459117348536, 'UTED': -12.213961343919967}"
14,13.22374427693262,13.409780984385316,13.037707569479924,"{'RTH0': 32.18824726457835, 'VOFF': -2.093500193268924, 'NFACTOR': 0.1535092124449885, 'U0': 0.2884198916190635, 'UA': 9.919157152982203e-08, 'UB': 1.9386173633993115e-20, 'VSAT': 223571.6806107735, 'LAMBDA': 0.0021489181617918244, 'UTE': -0.26878432832060395, 'ETA0': 0.03034026048656827, 'VDSCALE': 5.170964078105758, 'CDSCD': 0.10740410298543, 'RSC': 0.00014413522759542576, 'RDC': 0.00018592927094466434, 'DELTA': 3.657083301480717, 'THESAT': 2.6604242316383346, 'NJGD': 15.30786766210946, 'RNJGD': 17.734698542334908, 'IGDDIO': 8.068892608166397, 'RIGDDIO': 2.6084509278531562e-08, 'NJGS': 19.241974914200966, 'RNJGS': 7.012351944791116, 'IGSDIO': 6.806034583657024, 'RIGSDIO': 4.368439352610498e-08, 'VSATACCS': 147669.38990533937, 'NS0ACCS': 3.677119637245367e+20, 'NS0ACCD': 8.478763218329196e+18, 'U0ACCS': 0.11322918786826898, 'U0ACCD': 0.16376405091078622, 'MEXPACCS': 2.815532847314745, 'MEXPACCD': 1.2596391851062028, 'IMIN': 8.082610085608741e-13, 'GDSMIN': 9.992043601977278e-07, 'UTES': -7.018144502104127, 'UTED': -10.998843317600496}"
15,12.921446234836614,13.385933059315883,12.456959410357344,"{'RTH0': 31.95420265020046, 'VOFF': -2.0495374463448637, 'NFACTOR': 0.26142773756088955, 'U0': 0.2777303729442371, 'UA': 4.038308270759719e-08, 'UB': 6.761664689528201e-21, 'VSAT': 213836.5515826364, 'LAMBDA': 0.0026518596462735164, 'UTE': -0.11080646217927609, 'ETA0': 0.036182353795815005, 'VDSCALE': 4.511752804280056, 'CDSCD': 0.0993138999048864, 'RSC': 0.00015832795605668604, 'RDC': 0.0002485068181688658, 'DELTA': 4.278268562416959, 'THESAT': 2.270430158922523, 'NJGD': 13.648777007678206, 'RNJGD': 16.872607038814948, 'IGDDIO': 8.13899964927489, 'RIGDDIO': 4.216504148022852e-08, 'NJGS': 18.811861237582722, 'RNJGS': 8.961398007123607, 'IGSDIO': 5.887860887504908, 'RIGSDIO': 2.9136828667296744e-08, 'VSATACCS': 135790.0756497664, 'NS0ACCS': 1.760315992152707e+20, 'NS0ACCD': 9.852132845700819e+18, 'U0ACCS': 0.14031333288292952, 'U0ACCD': 0.16239911029107823, 'MEXPACCS': 2.2626970541403324, 'MEXPACCD': 1.824115248055211, 'IMIN': 6.806599285486903e-13, 'GDSMIN': 3.4779573313197447e-07, 'UTES': -5.040969725502322, 'UTED': -10.067699413984961}"
16,13.34556138157461,13.487445414023778,13.203677349125442,"{'RTH0': 31.99036127005019, 'VOFF': -2.0395134663485415, 'NFACTOR': 0.3625649722033834, 'U0': 0.2773345745871977, 'UA': 1.4041589627908507e-07, 'UB': 7.32012561518675e-21, 'VSAT': 216945.41952763076, 'LAMBDA': 0.002719459474867369, 'UTE': -0.12136672164242128, 'ETA0': 0.03959861138291464, 'VDSCALE': 4.49055546087126, 'CDSCD': 0.09784899950015753, 'RSC': 0.0001733592544407538, 'RDC': 0.00025128272552395246, 'DELTA': 4.343514359706163, 'THESAT': 2.1842726676355926, 'NJGD': 13.782521342323022, 'RNJGD': 16.739520708656386, 'IGDDIO': 8.147161270143965, 'RIGDDIO': 4.464415347072445e-08, 'NJGS': 18.20004199240421, 'RNJGS': 8.79932117583076, 'IGSDIO': 5.730883808507407, 'RIGSDIO': 3.015354317233042e-08, 'VSATACCS': 135216.70409977602, 'NS0ACCS': 1.6549073913102313e+20, 'NS0ACCD': 9.895775028188324e+18, 'U0ACCS': 0.14100691844953014, 'U0ACCD': 0.16721246905452988, 'MEXPACCS': 2.0243361709688625, 'MEXPACCD': 2.3254451962025087, 'IMIN': 6.850264488361849e-13, 'GDSMIN': 3.352521883615024e-07, 'UTES': -5.066093755289404, 'UTED': -10.090565597540358}"
17,13.02138300810557,13.370200057762828,12.672565958448313,"{'RTH0': 32.260484813597785, 'VOFF': -2.0799176157644736, 'NFACTOR': 0.25912788756115024, 'U0': 0.28190074117836034, 'UA': 6.813217031144998e-08, 'UB': 1.9028589767044548e-20, 'VSAT': 216718.76371061825, 'LAMBDA': 0.001610747091334164, 'UTE': -0.5006178856826374, 'ETA0': 0.03178018246058656, 'VDSCALE': 4.503697544132977, 'CDSCD': 0.1003712380165162, 'RSC': 0.00012415482402915258, 'RDC': 0.00029630512593632844, 'DELTA': 4.885369025843277, 'THESAT': 2.5712514198619085, 'NJGD': 13.003003892874688, 'RNJGD': 16.794919181938035, 'IGDDIO': 7.589999834669877, 'RIGDDIO': 3.590840698200538e-08, 'NJGS': 18.787991864471827, 'RNJGS': 8.226407562023686, 'IGSDIO': 5.290590786013703, 'RIGSDIO': 2.479824507590781e-08, 'VSATACCS': 119319.58671916554, 'NS0ACCS': 1.7617982397694244e+20, 'NS0ACCD': 8.906476954062114e+18, 'U0ACCS': 0.14075069229330797, 'U0ACCD': 0.15842977627814497, 'MEXPACCS': 2.2081336559729294, 'MEXPACCD': 1.77043498115556, 'IMIN': 4.985870610665987e-13, 'GDSMIN': 4.975959040287127e-07, 'UTES': -5.1354367011249415, 'UTED': -12.900640724891128}"
18,14.828349503892223,14.233883123751836,15.422815884032612,"{'RTH0': 31.948160239139252, 'VOFF': -2.038382588584073, 'NFACTOR': 0.36440262390467415, 'U0': 0.27378736098333495, 'UA': 3.2060680195537804e-07, 'UB': 6.903309148924773e-21, 'VSAT': 205921.64036778128, 'LAMBDA': 0.002021878584217522, 'UTE': -0.1035688322287074, 'ETA0': 0.02535867604080322, 'VDSCALE': 4.064474176835745, 'CDSCD': 0.09056392598574152, 'RSC': 0.00023349857763540883, 'RDC': 0.0002607545388057925, 'DELTA': 4.368192842960921, 'THESAT': 2.3458898667629287, 'NJGD': 13.567811174038043, 'RNJGD': 16.91068194808021, 'IGDDIO': 8.783570898157892, 'RIGDDIO': 2.1724906636079297e-08, 'NJGS': 17.564866855680258, 'RNJGS': 7.992728127179568, 'IGSDIO': 5.878161043148923, 'RIGSDIO': 3.053964733615017e-08, 'VSATACCS': 134070.967903596, 'NS0ACCS': 1.5775674504224155e+20, 'NS0ACCD': 9.557534915205706e+18, 'U0ACCS': 0.12783865971414765, 'U0ACCD': 0.15929754196716378, 'MEXPACCS': 2.425665766579934, 'MEXPACCD': 2.19812126789257, 'IMIN': 6.863571770543166e-13, 'GDSMIN': 2.619728502939169e-07, 'UTES': -5.917727047818526, 'UTED': -11.493035242827304}"
19,13.43763788087891,13.530760953921265,13.344514807836555,"{'RTH0': 31.768170826314336, 'VOFF': -2.0817190417296243, 'NFACTOR': 0.2719525707292132, 'U0': 0.29114972009340906, 'UA': 1.5781911413225774e-07, 'UB': 4.9239863148636807e-20, 'VSAT': 219427.90007731877, 'LAMBDA': 0.001359465525924257, 'UTE': -0.29920987232523205, 'ETA0': 0.02196968282026427, 'VDSCALE': 4.989894544336776, 'CDSCD': 0.11396738982317424, 'RSC': 0.00011874855071789247, 'RDC': 0.00022083521532099805, 'DELTA': 4.2247630900499145, 'THESAT': 2.1423724541268925, 'NJGD': 14.565677631084828, 'RNJGD': 16.017212293435694, 'IGDDIO': 8.255656653105971, 'RIGDDIO': 4.483999066816778e-08, 'NJGS': 19.420492282763245, 'RNJGS': 8.749603950317516, 'IGSDIO': 5.539325085366757, 'RIGSDIO': 1.9109771100792666e-08, 'VSATACCS': 121819.78713077851, 'NS0ACCS': 2.8817785670103204e+20, 'NS0ACCD': 8.278758448918043e+18, 'U0ACCS': 0.13717332197159204, 'U0ACCD': 0.19726993043072827, 'MEXPACCS': 3.3583839556123634, 'MEXPACCD': 2.6274733337920377, 'IMIN': 5.389108371965881e-13, 'GDSMIN': 4.3617197560567306e-07, 'UTES': -6.170881834318042, 'UTED': -12.003726592294678}"
